,X,Y,Z
0,155.5158,43.057438,3.3796668
1,50.55549,549.4272,3.6488295
2,238.19025,33.44591,4.0410433
3,128.44511,62.545116,4.0530233
4,328.97354,177.78452,2.5747957
5,334.89023,189.94316,4.010534
6,345.70123,273.36667,4.950392
7,345.0948,342.76144,4.3909874
8,23.04969,365.6853,2.357488
9,30.593418,421.26114,3.992569
10,306.23666,482.81076,3.6414344
11,39.424446,536.5253,3.525712
12,64.18609,572.3102,3.1266918
13,119.813934,615.3751,3.1250541
14,235.36139,9.883503,4.4664116
15,173.72887,11.476873,5.4194574
16,169.47255,11.325169,6.9953547
17,165.08783,13.64936,4.966026
18,212.50136,29.35889,4.4304876
19,188.75635,32.05212,4.5122194
20,176.86423,38.974136,5.0007186
21,145.59715,47.99451,4.2420416
22,315.67807,124.41675,3.9525788
23,86.98187,126.71658,3.2544043
24,70.63186,170.7946,3.17549
25,332.54495,231.21939,3.4225352
26,43.37596,268.87616,5.2356596
27,345.4519,293.084,4.6621304
28,341.6061,316.40036,4.3381295
29,294.5714,509.69434,3.5452476
30,73.79481,583.6924,4.207854
31,220.10814,7.192249,4.7393613
32,183.82906,8.869599,5.945523
33,159.86852,19.99035,5.9173703
34,263.33752,20.816858,4.9094214
35,251.59947,37.696064,4.7215223
36,136.33957,53.509987,4.523587
37,302.29288,84.4331,4.2588143
38,311.24042,109.511,6.059386
39,319.3036,140.66588,3.8559146
40,60.192066,203.02592,4.7694426
41,55.61109,212.87476,4.7049246
42,333.64044,243.93468,4.7098265
43,55.206642,244.05418,4.1013546
44,339.9382,252.96118,4.2535796
45,340.7982,263.47043,4.4352403
46,343.1111,304.50012,5.80069
47,344.82397,328.57425,4.046561
48,41.546074,371.57306,6.9491377
49,330.97015,374.48373,3.838372
50,12.203668,394.035,5.8938985
51,336.77258,411.95352,5.2006283
52,324.00888,431.5178,3.9933333
53,319.88348,443.59866,4.532018
54,311.76852,469.53925,4.8425927
55,34.16922,521.4212,5.3724637
56,261.87927,568.2267,4.348347
57,251.51462,581.6349,3.73867
58,83.72425,596.94977,4.137549
59,132.75244,620.36456,4.707655
60,273.86676,30.52062,4.7839465
61,165.38567,37.859596,5.751431
62,200.30238,46.581398,7.517672
63,282.0676,52.87349,5.53352
64,288.81158,62.004322,5.7744956
65,91.16088,114.26605,4.793358
66,79.22386,144.80229,4.1411767
67,62.720623,223.18326,6.062899
68,349.17358,233.6051,9.438254
69,44.541714,256.87775,5.237543
70,40.124245,279.60312,4.4893446
71,341.28113,282.80493,6.377223
72,29.94385,354.029,4.195279
73,341.88177,361.90057,4.051106
74,341.57483,386.4999,4.9951034
75,51.425724,397.20972,7.0434895
76,314.73682,456.74136,5.6564584
77,17.513685,471.48248,5.6962442
78,283.9364,529.78174,3.3949292
79,78.87982,544.5115,7.2170415
80,85.460556,557.087,7.837209
81,269.17303,557.46545,5.1972814
82,159.6373,599.8228,8.560855
83,208.31386,620.3226,5.7443285
84,148.57997,623.3083,4.8430786
85,184.18709,624.2178,6.0911417
86,251.39499,12.028405,5.1950345
87,228.03171,27.596655,7.293043
88,295.92593,72.65524,6.758394
89,306.90686,96.8777,6.509719
90,96.918304,99.6615,4.772937
91,111.72165,103.549934,6.1992774
92,50.44235,231.56082,5.609326
93,35.6505,301.39096,5.5317726
94,56.167057,375.98877,7.4323897
95,67.30247,380.57095,5.3423963
96,31.836813,508.23825,5.886987
97,194.55106,621.2047,6.544583
98,173.59294,624.4471,6.463375
99,121.08727,70.50287,5.9458275
100,82.84779,163.83363,8.015392
101,61.585495,192.95988,6.190741
102,332.53925,216.85338,4.9274898
103,38.574623,291.31888,5.802433
104,31.260214,311.81934,6.1284175
105,40.4079,321.62558,6.9429617
106,33.952507,341.70535,5.622486
107,338.23495,400.7845,8.053288
108,27.624855,487.45773,5.4511104
109,288.0853,516.7635,6.9175935
110,57.49467,561.014,6.5852404
111,103.06884,88.99017,6.553747
112,326.8002,421.4361,7.384764
113,298.24957,498.24472,6.6247864
114,229.61511,606.2004,7.1651316
115,112.29435,80.98639,6.9679356
116,81.29559,135.06839,7.504717
117,323.1303,155.9989,7.5758033
118,325.44385,169.32573,8.139419
119,63.591618,182.31175,7.3061285
120,331.80054,181.33679,8.239298
121,338.88135,202.25333,7.3246737
122,344.42535,327.6729,12.059975
123,27.382797,329.54126,6.9130955
124,329.39978,346.49133,7.248668
125,22.528126,364.8174,10.735714
126,14.97181,374.14557,8.524172
127,32.71858,404.8956,7.991232
128,17.431065,415.38654,7.3833
129,19.51849,433.22665,6.0653677
130,280.7198,526.0982,10.205012
131,275.66608,545.38135,7.2042108
132,240.31682,596.424,6.9835773
133,97.76404,606.2274,7.365018
134,219.07645,614.29407,7.9496403
135,73.29434,153.88994,8.249685
136,67.4976,171.5718,11.027935
137,335.23868,234.9889,12.583719
138,330.47253,294.5557,9.101325
139,343.71518,354.4491,10.782515
140,109.274994,612.3345,8.841304
141,161.66606,622.3217,9.302645
142,86.67745,124.014435,11.703833
143,334.44812,254.51984,10.870296
144,336.59097,267.39597,12.090563
145,327.76285,366.77988,11.0199585
146,23.526762,386.83887,10.281945
147,256.45575,575.2128,11.856637
148,285.8848,39.012737,11.025274
149,261.25,42.349,10.453877
150,151.82465,43.63957,11.86094
151,271.42996,46.81653,10.740986
152,94.94075,109.43052,12.20844
153,45.882744,244.91124,11.633361
154,339.0662,337.26654,12.253661
155,13.230583,446.0478,11.013909
156,17.578205,459.61884,10.512754
157,38.56279,530.4086,12.88626
158,45.125664,543.523,12.019048
159,67.95195,572.0293,11.914602
160,248.391,586.2484,12.436659
161,123.435425,614.6306,12.387447
162,244.7557,9.285504,12.614423
163,260.73563,10.46158,8.955938
164,239.46967,39.777294,12.096734
165,302.56815,83.15269,14.741649
166,318.11658,131.09102,13.904503
167,318.95847,143.61507,13.699497
168,39.917263,279.92798,13.708855
169,329.9258,316.2826,11.872823
170,29.008705,353.4618,13.454293
171,343.88242,378.73505,13.285405
172,322.56537,433.0684,13.897384
173,302.5209,489.2366,12.47358
174,80.159,585.32556,12.049255
175,142.23245,51.93591,13.656664
176,131.7041,56.627243,14.130658
