,X,Y,Z
0,202.56851,29.727581,4.4603205
1,300.71005,111.78478,3.0531292
2,143.41927,77.841324,3.8999536
3,141.367,111.87564,3.8086295
4,64.25718,197.8901,3.168923
5,215.064,617.5626,4.753008
6,277.76688,69.87082,2.6500294
7,287.6937,86.81127,2.9743085
8,292.56125,95.82495,4.438004
9,136.70093,100.64081,5.1212745
10,125.08979,109.29464,4.1811147
11,81.28321,161.64098,3.260025
12,65.37323,182.91022,2.828074
13,56.262234,334.6582,7.2094393
14,14.216131,469.47763,4.6598306
15,136.52757,584.86835,5.005601
16,227.6405,8.778525,4.881821
17,245.70834,11.457816,7.4371676
18,163.84459,21.817808,5.2423987
19,271.6716,28.568888,4.244226
20,146.99617,38.594883,4.6264358
21,102.7929,121.015854,3.5699456
22,79.4449,146.98367,4.10449
23,68.125275,168.43062,3.9586778
24,58.08807,207.70302,3.437788
25,55.938858,219.70723,2.893592
26,291.9412,406.18726,3.9592311
27,29.04603,405.35327,2.8688147
28,23.325546,415.54218,4.001263
29,313.2765,469.78604,5.4204326
30,282.1505,40.756203,5.2070613
31,266.7975,60.425713,3.0417233
32,142.25374,91.328636,7.077621
33,148.2786,126.90867,4.2466207
34,98.68392,136.29318,3.870362
35,87.60086,133.88927,3.5785408
36,320.6883,145.89098,5.1250644
37,43.683273,261.8609,3.0460527
38,40.81663,282.5103,2.8763328
39,343.238,351.15952,6.2540927
40,14.164951,430.31003,6.0490174
41,268.95633,509.65118,6.075589
42,278.74484,536.49945,5.095017
43,218.57666,36.973324,5.5243983
44,188.14255,38.990078,7.8476925
45,245.9328,41.596348,4.314212
46,169.65738,54.849766,6.72986
47,282.75153,79.281944,5.7986813
48,151.67111,75.859375,6.708669
49,154.2226,95.81832,7.546547
50,161.55145,106.55324,4.145933
51,87.7764,146.32088,5.3279953
52,74.84862,153.72707,4.733781
53,57.61767,230.76865,3.5079653
54,342.5049,247.34932,8.402905
55,343.39917,316.26108,7.319328
56,32.547974,347.18427,4.6868734
57,322.32803,437.9612,6.5679173
58,288.30835,517.49005,6.0266986
59,58.165962,565.9716,5.719953
60,81.61882,590.3052,5.4308834
61,248.16663,591.55334,6.0892096
62,101.15766,601.17566,5.4256206
63,209.01952,66.36916,4.1111326
64,162.74475,86.27308,6.9045196
65,117.00637,114.890305,5.165225
66,126.455376,136.89049,4.629554
67,94.957,173.92456,4.9053187
68,50.366283,256.43512,4.511474
69,58.186527,270.56784,5.623713
70,36.18331,320.40512,4.4188423
71,23.961351,384.5504,3.6008453
72,18.330135,449.2578,5.5302205
73,228.64833,38.768776,6.391899
74,180.0727,50.911976,8.788961
75,331.5706,171.88542,6.232602
76,86.60178,185.87704,5.9799404
77,102.07679,186.80922,5.1512113
78,99.6088,198.47902,6.6724296
79,341.4929,227.42577,8.439785
80,57.549217,288.79926,5.1369433
81,37.860546,290.2654,6.31444
82,343.61273,331.28293,8.91047
83,22.226244,394.4564,5.0276246
84,302.52646,493.7891,6.1774707
85,118.91114,609.03625,6.1001368
86,153.98851,623.48846,6.590745
87,180.67154,12.563035,7.0391717
88,162.34586,66.02004,7.939878
89,165.15446,78.35043,8.788473
90,154.17682,109.895386,8.675742
91,72.79198,190.69289,7.2422338
92,41.27559,267.71643,8.018124
93,343.22617,299.88522,8.832965
94,25.84008,460.41635,6.6539984
95,243.43161,38.16716,11.957002
96,178.15562,87.607666,5.3792977
97,175.38474,106.45734,4.9947605
98,108.81228,130.45308,7.204305
99,311.5892,129.81456,6.3273416
100,141.54468,137.49794,7.8831615
101,83.24702,137.54729,9.787879
102,29.32185,336.1491,7.4791617
103,25.759623,360.41663,7.377541
104,342.66394,378.6498,8.22935
105,331.61942,414.38788,8.477122
106,135.28053,613.7635,7.920145
107,175.19461,625.08325,8.226076
108,260.4859,13.050761,8.818321
109,282.19727,36.131355,13.601224
110,233.99251,55.78257,8.716465
111,281.14807,66.84909,9.017445
112,288.59534,86.71148,13.043684
113,167.2734,95.04201,11.346743
114,113.97742,170.90489,7.500114
115,78.91093,176.99431,8.5681
116,38.95691,277.9547,11.586004
117,90.12503,285.72845,8.722023
118,35.38391,299.91437,6.6439667
119,39.10528,311.58252,6.3285975
120,9.720731,407.72516,10.593069
121,26.78918,478.2038,8.186842
122,264.44177,567.22516,8.235794
123,190.53038,48.218906,15.146809
124,207.84187,51.114136,8.944186
125,110.666374,116.61077,10.825369
126,131.02661,121.59507,7.4542503
127,100.90192,152.07164,7.7797437
128,117.54669,157.90721,8.059461
129,65.044136,207.10332,9.292879
130,52.785305,218.84816,10.281632
131,84.01253,268.67822,9.906511
132,30.223343,493.50284,7.855563
133,229.39534,609.2467,10.079597
134,275.88382,29.837713,14.24381
135,252.31688,52.49284,10.132675
136,260.2603,53.99485,7.857281
137,266.2695,58.43481,12.016801
138,275.60074,58.968124,12.84831
139,298.08173,108.41483,10.850409
140,169.09348,113.77576,12.2081585
141,71.314445,155.84161,11.368012
142,63.771107,179.55817,11.960132
143,104.24444,178.0292,12.050793
144,113.81378,184.6415,11.360703
145,54.69514,211.0389,12.119445
146,50.344635,229.55618,11.322661
147,46.776237,242.97052,6.975236
148,76.51775,283.44193,10.812081
149,49.221096,300.30942,8.331465
150,34.023113,328.3949,12.241159
151,20.96994,369.80148,8.870951
152,14.677045,378.43515,7.5843835
153,35.36562,398.78482,10.783836
154,68.724106,578.7877,10.005522
155,189.86783,8.393707,12.156131
156,267.83582,20.004494,14.869985
157,150.32756,31.84536,12.342473
158,174.73529,80.161156,14.670392
159,97.69575,137.14256,12.660994
160,81.918175,169.29124,12.489047
161,302.94885,168.42506,13.820831
162,338.94244,187.55055,11.231236
163,62.84278,257.24475,9.322427
164,58.365578,279.82413,12.636097
165,48.569412,359.771,11.781615
166,108.00394,511.01575,7.751476
167,48.492004,552.901,10.663746
168,178.27245,60.763123,16.805424
169,181.88823,101.886215,15.170606
170,134.93282,112.51266,14.288542
171,118.20257,116.153984,14.765352
172,123.07918,125.64663,12.346041
173,94.42105,185.91866,14.310207
174,60.085228,198.35733,13.667298
175,74.9012,205.18224,9.180158
176,341.15576,207.67418,12.039634
177,50.514675,236.05577,13.671233
178,343.20416,265.52307,12.440868
179,39.71513,378.65842,10.565141
180,37.78419,521.9767,9.538971
