,X,Y,Z
0,36.922302,290.30792,2.5247002
1,47.030945,244.64279,4.401566
2,31.11219,316.99573,3.2274845
3,281.3041,538.5981,3.0070958
4,46.540894,562.7851,3.9818256
5,263.83777,31.01901,3.6755385
6,141.59174,44.122322,3.980143
7,283.51926,62.23189,4.1693926
8,117.129524,72.53468,3.3664825
9,302.05444,100.41915,4.387638
10,83.905396,133.99478,3.7356355
11,340.90347,280.5155,4.062318
12,17.92515,357.3905,4.721985
13,340.39594,377.78052,3.6568856
14,20.798674,375.09,4.0805707
15,20.423523,390.9366,2.9274728
16,320.85114,441.37433,4.3612084
17,314.9005,454.10916,3.9993093
18,54.421684,577.57794,3.737428
19,102.94708,618.2209,4.353363
20,201.78336,627.8128,5.2696543
21,212.72147,6.728053,6.046865
22,138.15204,51.306923,4.4939327
23,285.37357,52.11257,5.1747613
24,293.76248,71.90576,5.0856414
25,98.24539,105.98324,5.0650353
26,306.7266,113.563156,4.633299
27,90.67851,117.74529,4.2940927
28,322.0839,204.49681,3.5192308
29,50.63172,231.51959,4.1378646
30,341.17404,240.71672,6.4904647
31,339.15036,252.85762,5.270875
32,339.44342,300.33362,4.254101
33,26.126022,347.3837,3.9578977
34,341.2687,365.67258,5.071877
35,323.87756,382.85757,5.3323617
36,322.71277,429.48007,4.4911284
37,20.84996,469.32492,3.9589343
38,37.575798,547.0,4.595049
39,273.68228,547.84485,4.341925
40,263.05237,568.78217,4.7586336
41,248.16432,589.97174,4.2338047
42,238.1804,601.7372,3.6259367
43,148.74915,36.504326,4.682526
44,122.99516,64.78451,5.516949
45,309.13284,124.358604,5.742869
46,74.955284,155.32808,5.1188602
47,319.01926,157.13173,5.0046225
48,321.40652,173.75104,5.3494873
49,322.77982,188.1338,4.7626705
50,334.5826,214.8948,5.349616
51,331.02924,232.29793,4.280052
52,40.086006,275.3599,4.501648
53,340.51602,353.8554,6.0868263
54,337.17557,393.9684,4.2803845
55,21.901892,436.63632,4.3931904
56,305.32562,481.44263,6.168514
57,296.64142,502.9675,5.084564
58,28.012178,508.56018,4.926641
59,290.53812,518.08435,4.488506
60,225.9989,5.2730484,8.772097
61,238.95554,9.078645,6.911373
62,245.14462,19.13411,4.463937
63,279.44986,42.7437,5.6598244
64,127.93906,59.74229,5.6629953
65,297.31766,88.10708,6.736227
66,313.1414,134.22206,6.486887
67,32.884045,331.1455,5.2598214
68,332.13956,340.25626,4.852317
69,302.14392,492.59048,6.0776014
70,269.60214,558.0096,6.127581
71,71.1204,596.7213,5.820139
72,185.47066,630.4004,7.0963798
73,205.04929,12.31301,7.081177
74,199.03874,15.371283,6.4758186
75,168.28375,12.167732,6.313652
76,256.3853,22.43743,5.43895
77,160.99637,25.908098,4.8519006
