,X,Y,Z
0,177.31447,8.653459,3.5748427
1,324.871,173.97484,2.7208467
2,28.908417,347.57013,4.4721055
3,163.83023,55.450764,4.3542304
4,131.71956,67.56777,3.0780764
5,305.83243,101.96995,2.9831512
6,337.51248,212.12633,3.4827113
7,344.35516,374.1566,4.420921
8,134.79558,618.45233,4.1396523
9,219.85553,4.20715,4.0440745
10,194.19124,4.926611,4.671838
11,242.52676,7.805463,4.951505
12,168.17972,9.451997,6.3310294
13,267.44922,32.65863,4.852344
14,123.16955,70.207504,3.982286
15,93.48256,108.460754,3.8179505
16,315.89148,133.52483,4.266689
17,68.8905,169.0131,3.458119
18,59.233864,198.94293,4.365762
19,43.441708,263.45303,3.101932
20,40.977283,273.54428,3.685211
21,343.8628,280.51514,5.277194
22,339.44785,310.59528,5.054294
23,344.5194,321.66818,5.5577526
24,339.2029,355.69077,3.563133
25,43.854027,364.4302,7.3137655
26,252.68808,8.93072,5.3197026
27,160.82088,18.851908,4.8616304
28,259.99582,23.084253,5.465006
29,150.28989,58.46872,6.4336863
30,283.36224,69.35764,5.5049505
31,290.26627,79.91988,3.83459
32,80.66143,138.2574,4.690311
33,56.997322,208.97357,4.553811
34,51.092087,230.48738,4.820259
35,341.772,254.78604,5.288702
36,335.30807,290.28906,4.641803
37,314.54672,341.07773,6.0861864
38,25.961098,386.54398,3.8045874
39,337.9368,395.9318,5.6170526
40,326.4882,419.09378,3.9594169
41,321.2876,431.9269,5.402337
42,18.555292,468.06842,5.2115183
43,30.396132,505.09937,4.951984
44,231.04457,513.58606,4.9320335
45,34.074444,518.2439,4.762693
46,265.5583,548.1747,4.3788376
47,53.87944,557.152,4.900651
48,158.49672,596.4186,6.3601413
49,83.543785,596.92676,4.4216337
50,233.65947,5.5729733,6.081757
51,145.65819,36.42409,5.025094
52,278.93015,40.275734,5.300371
53,288.87405,50.13712,7.3145947
54,193.64517,67.43807,6.0180163
55,44.47265,253.38097,5.605547
56,339.7095,271.51553,6.1787524
57,34.60741,292.63544,4.710145
58,341.16315,300.4994,5.5484433
59,37.078537,337.554,5.4085774
60,343.15378,342.80875,5.176055
61,67.743866,354.81265,6.269368
62,317.75015,445.78302,6.2011156
63,247.34213,520.4154,10.52209
64,280.85242,519.6473,4.8935113
65,174.59924,556.92645,4.3944197
66,73.25276,582.3772,5.151902
67,223.70586,606.3152,5.300042
68,212.32173,614.13513,5.1332326
69,197.91956,619.1303,4.8288507
70,149.7998,622.7123,4.701094
71,128.90788,47.110943,7.552841
72,248.6849,58.17383,5.2956376
73,139.5473,64.20407,6.6051016
74,236.30841,67.49081,5.2215858
75,225.73152,69.954414,5.5994997
76,62.314495,188.46191,5.2527204
77,60.45609,221.09973,5.711819
78,339.1821,235.48048,5.537877
79,49.456154,243.71263,4.8472624
80,35.93426,305.89258,5.2161946
81,333.1655,364.98218,5.7267323
82,18.306885,426.8005,5.926334
83,24.559044,484.9623,5.0047417
84,298.07623,493.73196,5.8349566
85,289.3984,509.34198,5.435591
86,271.13504,534.2966,5.9795384
87,178.18463,620.9772,5.7338567
88,174.81578,63.877514,7.542525
89,271.01672,65.83236,6.182332
90,112.77961,98.84918,6.8946867
91,84.12574,125.041824,5.587678
92,320.79312,148.43468,7.0139375
93,76.18027,148.43784,6.5860353
94,327.80026,192.65045,6.2157493
95,333.25876,204.0551,7.698131
96,22.151983,358.98477,6.9114685
97,338.70486,383.13422,7.2505136
98,70.211174,381.6539,5.7336054
99,51.990143,394.0579,7.7537193
100,21.532213,399.74957,5.5507555
101,16.205372,413.5525,5.9675426
102,311.61658,458.00058,5.9605227
103,64.50357,570.9449,7.414209
104,242.04012,588.0146,5.753555
105,233.07382,597.8229,6.426962
106,164.05394,622.9539,6.625456
107,261.57132,54.130722,8.45385
108,213.92384,64.28295,8.482219
109,295.97476,89.18662,6.988386
110,73.32653,158.8221,5.9980745
111,322.3144,162.14346,7.6884027
112,337.31668,225.56197,7.757344
113,42.4526,320.09958,8.252083
114,333.01416,329.1432,6.9979377
115,56.20283,376.64856,9.405317
116,332.49152,407.39603,6.262014
117,12.20534,442.1999,8.363515
118,97.6259,604.9757,7.0283046
119,120.64503,78.6339,7.5834084
120,100.68666,93.71859,6.9203506
121,301.77866,98.53495,10.5927305
122,312.20316,119.91259,8.000199
123,65.58527,177.83426,7.600444
