,X,Y,Z
0,17.751396,477.54572,3.3992984
1,283.9319,66.560555,5.328371
2,21.460575,506.25015,3.8617942
3,153.86324,636.40936,3.8525658
4,335.69006,385.31808,4.5891175
5,14.862948,438.51398,4.479962
6,36.742764,544.1731,3.9464092
7,55.68024,580.0925,4.6704326
8,66.4753,597.76373,5.4992137
9,78.6919,145.82549,4.75095
10,42.519676,266.91907,4.036003
11,341.06192,319.09637,5.2181225
12,26.11323,344.3032,4.443032
13,338.4476,374.3223,5.9860177
14,18.14229,382.65176,5.7921968
15,14.967453,395.92145,5.5489583
16,284.889,536.958,4.5794683
17,257.86642,37.024303,5.9568644
18,307.3397,116.99919,6.026951
19,319.33167,168.10194,5.349569
20,328.1172,201.46732,4.903097
21,339.80103,276.13394,5.83081
22,32.20375,312.40594,5.7230325
23,307.94916,349.9782,4.7895904
24,17.834373,368.18594,5.3156986
25,270.66437,559.4073,4.65932
26,81.91454,611.64197,5.564018
27,99.27916,620.8182,4.803807
28,206.17648,629.7418,4.2771497
29,188.32576,635.18463,6.6931076
30,167.33304,33.08285,5.58762
31,295.43948,85.563835,6.343497
32,95.979744,111.58872,6.318182
33,29.495033,329.18457,5.980596
34,339.19614,332.40588,6.367897
35,336.515,399.853,6.4301157
36,325.23145,430.53604,5.2149944
37,16.88421,455.32193,5.9610662
38,171.07654,637.4009,6.7968082
39,216.21364,17.014826,5.4800997
40,148.57065,43.91654,7.214958
41,106.616516,93.86215,7.385999
42,55.58113,218.39742,6.4378242
43,331.76566,412.10208,6.8427005
44,84.78947,543.6207,4.276999
45,254.65187,586.19775,6.1170263
46,36.29566,298.64215,7.3451543
47,338.15585,346.0458,7.5657034
48,316.43878,151.19681,7.550684
49,340.61813,293.6867,7.836295
50,337.61124,360.49643,7.472177
51,318.75427,446.8035,6.982204
52,29.621134,528.45935,9.111111
53,130.1103,632.3782,7.575173
54,302.59933,101.23169,9.425748
55,73.328224,158.79037,7.983678
56,60.889763,202.0115,8.018449
57,51.023453,233.10266,8.198054
58,14.0180645,421.48483,8.974038
59,233.89616,611.10016,8.469682
60,190.22314,26.099972,6.566743
61,122.56409,69.57768,7.1838155
62,89.05568,121.95424,9.795086
63,46.850513,252.83388,8.4486475
64,339.53653,307.80264,10.120813
65,300.3183,499.67072,7.353658
66,274.50626,49.307377,9.325731
67,322.50455,185.1727,9.257478
68,48.098965,562.4056,8.111336
69,145.29889,635.5318,11.204341
70,83.19803,133.88547,10.857701
71,336.83997,224.63965,7.8556275
72,312.65594,466.76486,9.436392
73,263.36978,574.3369,10.469004
74,244.55838,599.3915,11.3129635
75,220.81831,622.9899,10.770654
76,312.23758,133.25494,10.650106
77,67.015114,179.47023,9.226442
78,38.239056,285.13046,10.384887
79,292.52798,516.1142,10.911028
80,338.3008,250.56929,9.612426
81,41.263794,272.18466,14.355023
82,18.610558,352.2492,12.193662
83,17.393484,408.31882,13.142631
84,17.922134,438.00058,15.726709
85,278.0507,547.3391,13.899127
86,37.964767,548.46954,14.780153
87,205.24408,631.659,16.005459
88,231.93535,17.142258,13.2912445
89,177.11044,28.404299,17.374002
90,14.744405,471.4554,15.241395
91,77.24955,606.3787,16.3285
92,291.2871,77.25104,17.61165
93,328.10587,211.19011,14.794222
94,340.29883,391.99603,16.752645
95,325.25867,425.62988,16.910791
96,306.1989,483.43948,13.3131895
97,18.543043,503.51385,15.385064
98,287.4633,527.57574,15.490302
99,98.53677,620.49835,16.846228
100,31.132029,321.7749,16.816422
101,17.104813,362.8535,18.223396
102,14.634951,489.15146,15.5810175
103,269.95383,558.02924,18.162937
104,205.59258,14.275512,15.333581
105,134.44264,54.590965,17.17227
106,339.2825,267.27863,17.240068
107,54.64927,575.1305,17.385822
108,117.281876,628.1995,16.540052
109,247.61699,28.433386,18.124636
110,319.34366,167.49754,19.382788
111,336.70493,237.27084,18.635258
112,49.673466,243.6483,19.290518
113,160.08932,637.95465,19.970337
114,194.10236,19.209532,19.605427
115,159.67073,35.251575,20.74124
116,100.38057,102.30741,20.179453
117,338.33612,320.45193,20.224329
118,339.0719,332.88916,20.229193
119,27.489906,339.58908,20.725746
120,338.44376,368.07022,21.116879
121,14.395931,375.80685,21.0697
122,320.70065,439.10117,20.712479
123,14.154402,457.1063,21.259912
124,120.48592,70.7434,22.703033
125,79.03904,146.24193,20.77673
126,72.1269,164.00294,21.363386
127,55.00512,220.3635,21.2564
128,339.47556,290.5206,21.501596
129,326.52896,414.3253,21.459051
130,27.71784,518.31683,21.492361
131,62.139187,590.1581,20.684233
132,314.97583,147.83932,22.143879
133,61.731136,198.39832,21.636168
134,338.67276,355.2174,22.801714
135,15.933442,389.95718,23.095827
136,315.57513,455.0066,21.876026
137,298.8351,500.775,22.360674
138,252.95056,588.34125,22.23009
139,269.48807,44.99635,23.809061
140,307.4011,117.27669,22.930561
141,323.70737,196.41643,23.909039
142,34.22542,306.49768,22.991737
143,338.4827,380.08484,24.241222
144,321.11624,181.208,24.991768
145,37.372005,292.6177,24.22675
146,192.30203,634.1111,24.098114
147,175.99785,637.9681,24.221813
148,65.973564,183.00996,25.484537
149,45.020424,259.22174,25.297892
150,335.84256,402.83853,24.804697
151,280.7586,537.60724,25.937904
152,262.82574,569.3802,25.843948
153,228.2138,616.40936,25.929066
154,221.66455,13.064591,26.062876
155,282.97986,61.75556,26.474865
156,301.4466,98.15315,24.850462
157,87.74724,124.93861,25.981506
158,340.82785,308.42078,27.85465
159,12.657807,403.32968,27.23969
160,140.1992,631.68756,25.774876
161,340.39362,279.3076,29.070454
162,340.6097,343.76355,28.542736
163,96.40852,110.82582,28.878197
164,339.99295,254.75043,29.63241
165,31.079403,323.38104,29.124846
166,14.434367,429.27304,28.816866
167,16.155546,478.81775,30.940826
168,45.065956,561.39594,27.492102
169,108.93894,89.205154,27.530107
170,311.43835,133.39603,30.768131
171,325.4027,215.54976,30.248383
172,41.322765,276.84125,29.019388
173,144.50856,46.260788,28.757397
174,53.072105,232.31052,30.46352
175,16.213976,445.30432,32.153008
176,96.17001,616.40063,30.456429
177,234.70045,19.669903,30.843227
178,82.64102,139.4339,31.179346
179,22.80147,360.63232,30.817911
180,310.08658,468.1234,30.383835
181,303.8072,484.0671,31.971798
182,267.37225,553.8608,31.156616
183,238.38281,605.2644,30.59246
184,84.79487,609.6779,31.178236
185,211.3175,628.2043,31.074709
186,327.9268,230.71707,31.183273
187,339.76855,296.87253,35.313377
188,16.931759,417.86755,33.360016
189,321.93982,431.2655,32.006477
190,25.276188,498.28598,32.18663
191,286.8769,524.0086,31.927763
192,246.66428,533.55194,33.951206
193,72.215454,598.0682,32.4389
194,110.04173,622.7121,32.723885
195,208.78601,12.9188175,33.925327
196,188.5017,14.094989,31.533474
197,157.6755,36.295788,32.97908
198,261.65158,37.636757,33.92348
199,314.1637,153.34976,33.819004
200,75.70249,156.644,33.42774
201,340.60486,324.83908,36.003426
202,332.3401,392.13278,33.905045
203,295.89236,503.0198,33.457066
204,37.389507,545.38165,32.344437
205,125.12467,627.60004,32.60985
206,291.39505,79.010864,34.033623
207,57.25064,214.89,33.523987
208,316.00275,447.5991,34.622066
209,242.6329,537.8835,39.420994
210,317.70718,171.9665,35.541386
211,62.31863,200.84438,35.219345
212,50.354404,245.63058,35.606136
213,28.366226,349.88766,35.467773
214,24.09469,375.53485,35.32025
215,33.039898,531.24115,33.794083
216,56.2912,576.9272,34.287914
217,256.1556,577.32874,35.680298
218,247.81195,593.30426,34.78602
219,323.76718,417.80496,36.45929
220,17.632685,461.78864,37.420765
221,136.17267,54.032063,37.163326
222,124.19206,67.731544,36.909306
223,296.9559,92.80657,38.37309
224,68.55087,183.05055,37.72534
225,331.47043,242.90561,36.49367
226,336.16345,269.51486,38.608074
227,39.4002,292.09464,37.524952
228,36.204933,311.07602,37.87758
229,30.897648,335.92218,36.697697
230,336.55533,364.6154,38.283054
231,156.37717,635.83856,36.2837
232,246.51312,29.015778,38.934727
233,303.5577,109.96168,37.934883
234,92.912674,119.53151,38.811302
235,72.14413,170.2859,38.078068
236,337.9395,378.87405,39.966953
237,29.982906,514.9133,38.321537
238,176.63872,28.676134,37.931416
239,322.09998,203.87106,38.829712
240,47.35185,261.3593,39.981655
241,17.270054,402.58493,40.724228
242,107.03623,92.064896,40.87155
243,339.34662,351.128,42.64606
244,326.1125,403.39758,40.793602
245,270.7146,539.5562,37.8528
246,140.94438,630.7589,40.99558
247,192.67581,632.3665,40.64256
248,275.71353,53.49864,40.357872
249,318.70746,185.26465,41.279243
250,288.47754,515.30194,41.293743
251,218.10593,622.41406,41.882492
252,173.63504,634.4672,41.983906
253,220.15858,20.590796,43.13862
254,193.58263,28.535065,42.32128
255,45.277275,274.80447,42.87449
256,26.733286,486.99493,42.4691
257,44.98069,556.6079,42.119602
258,259.17017,558.9863,41.647724
259,306.29678,123.30422,42.86511
260,87.700516,133.99971,43.84766
261,81.12184,148.27588,42.65386
262,328.63174,255.15866,42.919888
263,22.188831,388.46506,42.31947
264,231.66171,21.655853,44.047073
265,163.12396,35.365112,44.608913
266,313.61743,162.7907,44.9329
267,323.89673,229.60974,44.365643
268,337.52435,334.79556,45.71337
269,307.81473,468.2204,44.49561
270,333.64407,284.18924,44.905952
271,336.12158,301.88284,45.65737
272,317.7031,433.7837,45.36384
273,19.98141,436.72797,45.153156
274,25.612526,471.74982,45.978283
275,297.47308,490.59732,45.166145
276,66.41076,196.65717,46.824757
277,21.380291,418.36667,46.53492
278,311.62094,453.1815,46.646774
279,249.2394,587.2096,46.37915
280,56.19542,228.32993,45.818058
281,36.0996,323.88605,47.556103
282,28.965103,362.8948,46.148632
283,291.17374,504.11032,47.673218
284,238.87033,602.07874,46.455906
285,82.858185,602.8952,47.225388
286,129.15497,621.4987,46.533978
287,148.10141,45.69777,47.404663
288,61.510017,212.96239,48.894867
289,40.858,299.14337,48.13461
290,140.71841,558.6159,49.337303
291,55.827244,571.0457,47.892635
292,137.63707,591.1985,53.181637
293,68.06555,589.4114,47.272957
294,207.21236,14.670225,49.169086
295,116.35289,82.0361,48.253613
296,33.68101,341.3613,49.84391
297,99.39844,610.07214,50.02956
298,227.3758,613.4244,48.28231
299,103.54657,105.36547,49.673706
300,79.055115,161.85188,49.802277
301,316.97363,197.57527,50.731144
302,55.135784,242.7888,50.71599
303,333.7709,318.47076,49.36201
304,326.37668,389.19647,49.628407
305,278.2309,528.1531,49.49068
306,114.687004,615.9117,49.24754
307,134.97635,59.506805,51.787407
308,95.4081,123.13978,52.268913
309,319.3647,215.1338,51.405773
310,329.27563,372.38623,51.1968
311,321.8204,410.7303,51.567284
312,26.824726,449.98618,51.835724
313,300.62094,479.4098,51.65492
314,31.76211,501.8193,50.92084
315,40.449734,538.67255,51.335426
316,253.73479,569.5481,49.65266
317,279.81412,62.35627,52.272957
318,288.0928,79.29514,51.52933
319,297.8698,104.36857,51.71172
320,307.35675,135.21503,51.34931
321,308.9323,149.04732,51.123096
322,72.415565,182.19366,51.4857
323,265.1272,43.922485,51.927452
324,324.256,258.3562,53.951286
325,45.365906,282.73273,52.919514
326,318.54156,423.107,53.375076
327,36.25583,521.674,52.98619
328,264.2182,542.8798,49.552925
329,157.49701,630.02094,52.50384
330,86.255646,149.44624,54.61424
331,51.873226,256.57147,53.884094
332,327.75558,342.46332,54.429535
333,327.18973,357.91183,54.358334
334,29.80198,377.88666,53.404896
335,188.31659,29.512016,54.750126
336,325.14627,272.77805,54.882904
337,27.246107,401.31378,54.763588
338,250.169,33.423653,55.39035
339,318.87186,229.82904,57.152344
340,41.799946,310.96265,55.77872
341,33.768875,362.0557,56.914913
342,49.984848,555.97516,56.586716
343,231.76976,29.537868,57.076202
344,161.85869,41.46003,58.2784
345,299.7298,118.238785,57.622963
346,77.924126,173.35526,57.759792
347,326.20667,303.4959,57.580784
348,31.62105,485.15182,58.004982
349,140.59227,621.46295,55.148514
350,184.70152,628.76,56.844055
351,125.96364,74.43043,57.73395
352,310.57956,168.83765,57.751694
353,312.5529,187.00548,57.901825
354,61.189346,228.43883,58.05773
355,320.9205,244.17238,57.9735
356,320.85773,397.33536,59.074154
357,311.7171,441.58475,57.736732
358,66.25734,578.7503,59.24248
359,245.27086,584.3869,58.88041
360,237.7898,595.91266,58.77163
361,204.48007,27.64431,59.402958
362,290.11142,93.941734,59.878338
363,73.79114,191.30536,60.79621
364,303.31723,286.4497,63.703377
365,304.1467,463.4997,59.237247
366,288.3913,503.60306,59.305305
367,199.95743,625.5871,57.506596
368,53.096237,268.557,60.388657
369,323.7937,286.83444,59.890415
370,149.86267,51.177658,62.151352
371,46.972794,296.5747,61.539783
372,39.73803,332.63586,60.89387
373,322.63284,378.61523,61.425976
374,29.297167,418.33887,61.033173
375,256.07916,548.9383,59.099033
376,249.43727,568.00653,60.724934
377,69.79231,204.46086,61.784912
378,36.565517,352.59247,61.757366
379,31.18031,465.9645,61.06465
