,X,Y,Z
0,105.11326,614.76154,3.1627774
1,28.349823,339.8098,2.9020908
2,21.113506,352.7831,3.4953806
3,325.32718,428.08316,3.3222427
4,64.29221,574.39374,3.635189
5,237.40662,5.461498,7.7069016
6,128.36157,58.997482,4.3565435
7,108.09651,84.42435,4.2070804
8,302.91962,92.95957,3.991171
9,73.20119,153.34985,3.9212198
10,327.7672,183.55725,3.4389548
11,64.13811,183.83661,3.238296
12,41.52982,270.6847,3.1761444
13,19.71836,370.9064,2.9124148
14,35.606743,381.06396,5.7173724
15,318.90372,437.6921,3.8660629
16,307.18988,477.01233,4.0789595
17,27.726925,506.51294,4.1899314
18,40.757736,544.2491,4.254717
19,138.73116,624.87976,4.589923
20,246.18129,8.025063,5.992481
21,256.12097,16.722162,4.064775
22,238.13873,26.004175,4.313423
23,268.19873,37.974674,4.631727
24,135.2894,49.69906,5.0204835
25,288.54822,62.034386,4.815415
26,293.92688,72.93809,5.667994
27,320.12094,156.65605,4.8394017
28,322.06482,171.72372,4.374002
29,348.35236,237.05487,9.175325
30,335.43912,250.677,5.1078434
31,336.75034,259.61823,5.4051085
32,341.5675,271.77542,5.024106
33,340.44464,286.79895,5.931255
34,344.23102,298.72052,5.754511
35,344.07373,312.05127,5.433404
36,340.39417,323.19873,5.0277944
37,341.36423,334.07623,5.6450505
38,338.93304,391.19437,4.3574877
39,28.468176,430.17963,4.1979804
40,302.0319,488.364,4.5601726
41,34.731007,530.15283,5.147883
42,280.40756,540.72314,4.015758
43,51.244244,556.47003,4.481123
44,267.41544,561.60834,4.6262727
45,250.46452,586.0179,4.9022336
46,76.48724,586.30414,4.7938676
47,118.15168,616.66,4.302972
48,204.82446,620.7839,5.043468
49,128.48708,623.87213,5.4199395
50,251.08597,8.855601,8.293636
51,263.97794,25.254538,4.8307996
52,143.36708,41.76166,5.1576495
53,117.16932,75.80555,4.997689
54,99.812096,96.19924,4.869565
55,308.45187,104.313385,6.204105
56,310.4303,117.10636,5.5757575
57,316.28915,130.18576,5.412083
58,316.8676,143.4768,5.8277965
59,58.993446,204.08832,5.3073473
60,38.20711,284.46994,4.276487
61,339.09302,348.277,3.434709
62,343.238,367.83206,5.271968
63,15.651267,404.50067,4.5673037
64,328.52368,415.80307,5.3458166
65,316.40143,450.1292,4.1264324
66,310.45016,464.544,5.422353
67,78.95188,556.6044,8.046519
68,261.93365,570.5062,4.6152983
69,152.1159,620.5739,5.667096
70,187.1391,623.6559,5.7726192
71,87.744385,121.57384,4.861557
72,80.00122,141.12439,5.054878
73,70.286385,169.96022,4.298208
74,331.35767,197.8566,5.502049
75,330.17133,240.88397,5.774425
76,50.42381,248.33125,4.515737
77,37.559864,325.84628,5.4095783
78,28.882963,361.9348,5.0796294
79,330.0402,377.73767,6.162553
80,288.96774,518.63464,5.1863914
81,90.43934,547.5506,6.1055274
82,272.6235,550.99927,6.1336336
83,162.42815,593.54614,9.902158
84,237.73032,600.88495,5.4743643
85,226.56685,610.9126,5.892102
86,161.50714,29.165916,5.0153904
87,115.1042,98.111374,6.4244742
88,94.603516,110.63049,6.2146106
89,54.822273,214.11015,6.440048
90,326.59647,223.59311,5.330415
91,43.220074,259.43793,6.524066
92,20.773691,480.97327,4.459309
93,31.10402,518.2711,7.1699505
94,95.823555,540.4396,5.3609023
95,255.72545,578.1538,6.9242935
96,84.33496,601.08234,5.598054
97,95.27175,608.0779,7.114935
98,171.86526,627.1211,6.0799813
99,187.55896,13.41777,6.449381
100,199.06496,17.68665,6.228326
101,176.69623,16.702473,5.666528
102,298.46173,82.803116,8.436865
103,60.807972,194.34848,7.4885697
104,59.921043,223.64552,7.2589736
105,338.84622,405.92825,8.063065
106,25.875889,496.54712,6.0644245
107,295.98938,503.9701,6.4779887
108,224.41422,13.751144,7.294818
109,151.22533,34.663063,8.381584
110,337.99237,208.61658,8.4368515
111,36.64695,295.0261,7.178344
112,26.637407,332.56863,8.542903
113,33.116558,347.91006,8.606231
114,19.945543,444.32602,6.323302
115,281.53043,529.39246,7.2827287
116,244.06781,591.9587,8.79374
117,282.97995,51.60309,8.651671
118,82.96091,131.0528,8.366856
119,83.383484,159.07553,9.111621
120,323.6372,187.5685,10.355218
121,36.436836,306.41296,6.920363
122,32.03506,316.31696,8.147546
123,344.80893,345.16275,12.237515
124,17.357977,384.03262,8.3078165
125,29.733925,416.15482,9.062394
126,208.22433,7.941355,8.456823
127,169.23514,25.124193,10.109162
128,256.2906,29.984114,10.879116
129,122.95838,65.86491,8.976707
130,65.17935,181.59932,11.129447
131,49.465954,232.59586,8.247668
132,42.167088,271.1129,11.644416
133,327.605,303.8993,9.8526125
134,337.89957,359.7495,11.732671
135,15.655726,427.9923,8.752649
136,323.0667,430.05984,12.775137
137,314.62903,454.0336,11.70042
138,60.53295,566.07434,10.191595
139,216.68939,616.7822,9.967558
140,214.20505,26.057941,10.907951
141,68.00575,169.90039,13.609674
142,11.151103,372.8012,11.868806
143,19.081299,394.67844,10.184561
144,67.7522,578.7933,12.410598
145,107.289246,613.9395,13.042597
146,340.86896,220.1858,12.888324
147,44.66914,246.40361,13.035682
148,327.2701,324.94315,11.780809
149,320.08334,440.21,14.445666
150,13.404462,457.06198,11.657306
151,19.476257,469.22034,9.829344
152,304.3638,473.21124,13.173512
153,37.626488,537.70776,13.864267
154,77.94961,593.495,13.452824
155,120.97952,619.1091,13.529784
156,160.57008,626.5148,11.383209
157,237.42113,21.678364,15.208755
158,274.0491,43.02918,13.485753
159,106.6321,86.56394,14.096337
160,304.33035,92.50714,14.938214
161,78.5355,149.0674,14.1069975
162,322.2913,162.06538,14.265049
163,324.58313,174.96603,14.467603
164,339.56906,274.64374,14.600873
165,39.768116,281.58484,13.877665
166,31.627707,362.9001,14.434343
167,344.5409,385.99615,15.176038
168,327.39816,393.87073,12.770428
169,299.66122,494.91833,13.964317
170,289.44263,512.84955,14.432668
171,277.65344,539.73016,14.903435
172,46.471626,550.1141,13.574783
173,262.23666,568.79224,15.225428
174,158.68959,29.051584,16.73077
175,131.1113,52.002174,14.831162
176,112.22939,78.21978,15.663462
177,95.78655,103.96975,14.964286
178,89.256516,121.019295,15.49583
179,343.96393,308.93204,16.038893
180,325.9683,420.54456,15.551737
181,16.074715,487.247,13.758413
182,267.30704,558.7864,15.756009
183,140.61725,42.820942,16.830181
184,102.72123,95.62817,17.378063
185,313.1817,127.336525,16.47113
186,329.15817,236.14127,16.24355
187,11.745427,410.7985,15.857954
188,304.55447,483.77478,16.288212
189,88.337395,602.48395,16.76339
190,232.89618,604.4906,16.476336
191,138.13919,624.31055,16.113834
192,196.80096,624.1518,15.750993
193,247.59334,23.241426,17.60478
194,290.45163,63.817677,17.679193
195,71.83395,161.19882,17.806702
196,336.8701,248.25862,18.48408
197,30.33456,327.81268,17.661758
198,30.792017,341.69168,17.213474
199,324.7695,346.1388,16.151346
200,25.163286,497.7336,17.639841
201,53.763798,559.596,17.244446
202,188.39977,12.350918,19.209862
203,177.08705,11.8694315,19.062294
204,309.5473,116.31346,18.23318
205,84.29394,141.30583,18.036495
206,316.97375,150.05931,17.4734
207,62.451706,189.7541,18.997469
208,56.714725,210.30281,17.295355
209,54.31713,242.82869,17.256725
210,46.110977,257.1759,18.343172
211,343.87482,259.387,19.858248
212,37.592964,293.55276,18.608953
213,334.26706,293.4037,17.776638
214,35.16015,304.49564,18.28302
215,339.3337,317.89288,18.612446
216,333.95508,335.41797,17.871727
217,341.86023,369.5496,20.180958
218,30.55296,509.95297,18.069197
219,284.69278,526.4422,18.52793
220,255.00386,578.40533,18.868038
221,149.46745,623.6264,18.3119
222,228.88293,20.582115,19.439676
223,266.7381,34.086815,19.859625
224,317.3651,138.52864,18.9219
225,328.86353,196.40546,18.876589
